STAI_S1;Ich bin ruhig.
STAI_S2;Ich fühle mich geborgen.
STAI_S3;Ich fühle mich angespannt.
STAI_S4;Ich bin bekümmert.
STAI_S5;Ich fühle mich ungezwungen.
STAI_S6;Ich fühle mich ungezwungen.
STAI_S7;Ich bin besorgt, dass etwas schiefgehen könnte.
STAI_S8;Ich fühle mich ausgeruht.
STAI_S9;Ich bin beunruhigt.
STAI_S10;Ich fühle mich wohl.
STAI_S11;Ich fühle mich selbstsicher.
STAI_S12;Ich bin nervös.
STAI_S13;Ich bin zappelig.
STAI_S14;Ich bin verkrampft.
STAI_S15;Ich bin entspannt.
STAI_S16;Ich bin zufrieden.
STAI_S17;Ich bin besorgt.
STAI_S18;Ich bin überreizt.
STAI_S19;Ich bin froh.
STAI_S20;Ich bin vergnügt.
